,ball_milling_uid,ball_milling_process_name,milling_time,milling_time_units,milling_speed,milling_speed_units,ball_milling_output_material_name,ball_milling_output_material_uid,hot_press_uid,hot_press_process_name,hot_press_temperature,hot_press_temperature_units,hot_press_pressure,hot_press_pressure_units,hot_press_time,hot_press_time_units,hot_press_output_material_name,hot_press_output_material_uid,Zn_uid,Zn_material_name,Zn_mass_fraction,Cu_uid,Cu_material_name,Cu_mass_fraction,Se_uid,Se_material_name,Se_mass_fraction,bm_icp_lab_measurement,bm_icp_lab_pb_concentration,bm_icp_lab_sn_concentration,bm_icp_lab_o_concentration,bm_icp_lab_gas_flow_rate_l_min,bm_icp_lab_gas_type,bm_icp_lab_plasma_temperature_celsius,bm_icp_lab_detector_temperature_celsius,bm_icp_lab_field_strength_t,bm_icp_lab_plasma_observation,bm_icp_lab_radio_requency_mhz,bm_icp_lab_results,hp_icp_lab_measurement,hp_icp_lab_pb_concentration,hp_icp_lab_sn_concentration,hp_icp_lab_o_concentration,hp_icp_lab_gas_flow_rate_l_min,hp_icp_lab_gas_type,hp_icp_lab_plasma_temperature_celsius,hp_icp_lab_detector_temperature_celsius,hp_icp_lab_field_strength_t,hp_icp_lab_plasma_observation,hp_icp_lab_radio_requency_mhz,hp_icp_lab_results,bm_hall_lab_measurement,bm_hall_lab_probe_resistance_ohm,bm_hall_lab_gas_flow_rate_l_min,bm_hall_lab_gas_type,bm_hall_lab_probe_material,bm_hall_lab_current_ma,bm_hall_lab_field_strength_t,bm_hall_lab_sample_position,bm_hall_lab_magnet_reversal,bm_hall_lab_results,hp_hall_lab_measurement,hp_hall_lab_probe_resistance_ohm,hp_hall_lab_gas_flow_rate_l_min,hp_hall_lab_gas_type,hp_hall_lab_probe_material,hp_hall_lab_current_ma,hp_hall_lab_field_strength_t,hp_hall_lab_sample_position,hp_hall_lab_magnet_reversal,hp_hall_lab_results
0,MATX-BM001,high energy ball milling,15.0,hr,200.0,rpm,powder,MATX-BM-M001,MATX-HP001,Hot Isostatic Press,850.0,degC,100.0,MPa,1.0,hr,final pellet,MATX-HP-M001,MATX-PR-001,Zn,0.02,MATX-PR-002,Cu,0.92,MATX-PR-003,Se,0.06,ICP,0.5,0.3,1.1,13.0,Ar,10000.0,0.0,1.0,Radial,30.0,True,,,,,,,,,,,,False,,,,,,,,,,False,Hall,2.3,1.0,Ar,W,0.1,5.0,1.0,True,True
1,MATX-BM002,high energy ball milling,30.0,hr,200.0,rpm,powder,MATX-BM-M002,MATX-HP002,Hot Isostatic Press,850.0,degC,200.0,MPa,0.5,hr,final pellet,MATX-HP-M002,MATX-PR-004,Zn,0.04,MATX-PR-005,Cu,0.9,MATX-PR-006,Se,0.06,,,,,,,,,,,,False,,,,,,,,,,,,False,,,,,,,,,,False,Hall,7.5,1.0,Ar,W,0.1,5.0,1.0,True,True
2,MATX-BM003,high energy ball milling,45.0,hr,200.0,rpm,powder,MATX-BM-M003,MATX-HP003,Hot Isostatic Press,900.0,degC,100.0,MPa,1.0,hr,final pellet,MATX-HP-M003,MATX-PR-007,Zn,0.06,MATX-PR-008,Cu,0.88,MATX-PR-009,Se,0.06,,,,,,,,,,,,False,ICP,0.7,0.3,1.0,13.0,Ar,10000.0,0.0,1.0,Radial,31.0,True,,,,,,,,,,False,Hall,8.1,1.0,Ar,W,0.1,5.0,2.0,True,True
3,MATX-BM004,high energy ball milling,60.0,hr,200.0,rpm,powder,MATX-BM-M004,MATX-HP004,Hot Isostatic Press,900.0,degC,200.0,MPa,0.5,hr,final pellet,MATX-HP-M004,MATX-PR-010,Zn,0.08,MATX-PR-011,Cu,0.86,MATX-PR-012,Se,0.06,,,,,,,,,,,,False,ICP,0.7,0.4,0.9,13.0,Ar,10000.0,0.0,1.0,Radial,32.0,True,Hall,3.1,1.0,Ar,W,0.1,5.0,1.0,True,True,,,,,,,,,,False
4,MATX-BM005,high energy ball milling,15.0,hr,225.0,rpm,powder,MATX-BM-M005,MATX-HP005,Hot Isostatic Press,1000.0,degC,100.0,MPa,1.0,hr,final pellet,MATX-HP-M005,MATX-PR-013,Zn,0.1,MATX-PR-014,Cu,0.84,MATX-PR-015,Se,0.06,ICP,0.7,0.3,1.2,13.0,Ar,10000.0,0.0,1.0,Radial,33.0,True,ICP,0.6,0.2,1.0,13.0,Ar,10000.0,0.0,1.0,Radial,37.0,True,Hall,1.5,1.0,Ar,W,0.1,5.0,2.0,True,True,,,,,,,,,,False
5,MATX-BM006,high energy ball milling,30.0,hr,225.0,rpm,powder,MATX-BM-M006,MATX-HP006,Hot Isostatic Press,1000.0,degC,200.0,MPa,0.5,hr,final pellet,MATX-HP-M006,MATX-PR-016,Zn,0.12,MATX-PR-017,Cu,0.82,MATX-PR-018,Se,0.06,ICP,0.6,0.3,1.1,13.0,Ar,10000.0,0.0,1.0,Radial,34.0,True,ICP,0.6,0.3,0.9,13.0,Ar,10000.0,0.0,1.0,Radial,38.0,True,,,,,,,,,,False,,,,,,,,,,False
6,MATX-BM007,high energy ball milling,45.0,hr,225.0,rpm,powder,MATX-BM-M007,MATX-HP007,Hot Isostatic Press,1050.0,degC,100.0,MPa,1.0,hr,final pellet,MATX-HP-M007,MATX-PR-019,Zn,0.14,MATX-PR-020,Cu,0.8,MATX-PR-021,Se,0.06,ICP,0.6,0.3,1.0,13.0,Ar,10000.0,0.0,1.0,Radial,35.0,True,,,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,,False
7,MATX-BM008,high energy ball milling,60.0,hr,225.0,rpm,powder,MATX-BM-M008,MATX-HP008,Hot Isostatic Press,1050.0,degC,200.0,MPa,0.5,hr,final pellet,MATX-HP-M008,MATX-PR-022,Zn,0.16,MATX-PR-023,Cu,0.78,MATX-PR-024,Se,0.06,ICP,0.5,0.2,1.0,13.0,Ar,10000.0,0.0,1.0,Radial,36.0,True,,,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,,False
8,MATX-BM009,high energy ball milling,15.0,hr,250.0,rpm,powder,MATX-BM-M009,MATX-HP009,Hot Isostatic Press,1100.0,degC,100.0,MPa,1.0,hr,final pellet,MATX-HP-M009,MATX-PR-025,Zn,0.18,MATX-PR-026,Cu,0.76,MATX-PR-027,Se,0.06,ICP,0.6,0.3,1.0,13.0,Ar,10000.0,0.0,1.0,Radial,41.0,True,ICP,0.5,0.4,0.9,13.0,Ar,10000.0,0.0,1.0,Radial,39.0,True,Hall,4.3,1.0,Ar,W,0.1,5.0,1.0,True,True,,,,,,,,,,False
9,MATX-BM010,high energy ball milling,30.0,hr,250.0,rpm,powder,MATX-BM-M010,MATX-HP010,Hot Isostatic Press,1100.0,degC,200.0,MPa,0.5,hr,final pellet,MATX-HP-M010,MATX-PR-028,Zn,0.2,MATX-PR-029,Cu,0.74,MATX-PR-030,Se,0.06,,,,,,,,,,,,False,ICP,0.5,0.4,1.1,13.0,Ar,10000.0,0.0,1.0,Radial,40.0,True,,,,,,,,,,False,,,,,,,,,,False
10,MATX-BM011,high energy ball milling,45.0,hr,250.0,rpm,powder,MATX-BM-M011,MATX-HP011,Hot Isostatic Press,1150.0,degC,100.0,MPa,1.0,hr,final pellet,MATX-HP-M011,MATX-PR-031,Zn,0.22,MATX-PR-032,Cu,0.72,MATX-PR-033,Se,0.06,,,,,,,,,,,,False,,,,,,,,,,,,False,Hall,6.9,1.0,Ar,W,0.1,5.0,2.0,True,True,,,,,,,,,,False
11,MATX-BM012,high energy ball milling,60.0,hr,250.0,rpm,powder,MATX-BM-M012,MATX-HP012,Hot Isostatic Press,1150.0,degC,200.0,MPa,0.5,hr,final pellet,MATX-HP-M012,MATX-PR-034,Zn,0.24,MATX-PR-035,Cu,0.7,MATX-PR-036,Se,0.06,,,,,,,,,,,,False,ICP,0.5,0.2,1.2,13.0,Ar,10000.0,0.0,1.0,Radial,45.0,True,Hall,3.1,1.0,Ar,W,0.1,5.0,2.0,True,True,,,,,,,,,,False
12,MATX-BM013,high energy ball milling,15.0,hr,275.0,rpm,powder,MATX-BM-M013,MATX-HP013,Hot Isostatic Press,1200.0,degC,100.0,MPa,1.0,hr,final pellet,MATX-HP-M013,MATX-PR-037,Zn,0.26,MATX-PR-038,Cu,0.68,MATX-PR-039,Se,0.06,,,,,,,,,,,,False,ICP,0.6,0.3,1.0,13.0,Ar,10000.0,0.0,1.0,Radial,47.0,True,Hall,7.4,1.0,Ar,W,0.1,5.0,2.0,True,True,,,,,,,,,,False
13,MATX-BM014,high energy ball milling,30.0,hr,275.0,rpm,powder,MATX-BM-M014,MATX-HP014,Hot Isostatic Press,1200.0,degC,200.0,MPa,0.5,hr,final pellet,MATX-HP-M014,MATX-PR-040,Zn,0.28,MATX-PR-041,Cu,0.66,MATX-PR-042,Se,0.06,,,,,,,,,,,,False,,,,,,,,,,,,False,Hall,4.3,1.0,Ar,W,0.1,5.0,1.0,True,True,,,,,,,,,,False
14,MATX-BM015,high energy ball milling,45.0,hr,275.0,rpm,powder,MATX-BM-M015,MATX-HP015,Hot Isostatic Press,1250.0,degC,100.0,MPa,1.0,hr,final pellet,MATX-HP-M015,MATX-PR-043,Zn,0.3,MATX-PR-044,Cu,0.64,MATX-PR-045,Se,0.06,ICP,0.6,0.3,1.0,13.0,Ar,10000.0,0.0,1.0,Radial,42.0,True,ICP,0.7,0.3,0.9,13.0,Ar,10000.0,0.0,1.0,Radial,49.0,True,Hall,10.0,1.0,Ar,W,0.1,5.0,1.0,True,True,,,,,,,,,,False
15,MATX-BM016,high energy ball milling,60.0,hr,275.0,rpm,powder,MATX-BM-M016,MATX-HP016,Hot Isostatic Press,1250.0,degC,200.0,MPa,0.5,hr,final pellet,MATX-HP-M016,MATX-PR-046,Zn,0.32,MATX-PR-047,Cu,0.62,MATX-PR-048,Se,0.06,ICP,0.7,0.4,1.1,13.0,Ar,10000.0,0.0,1.0,Radial,43.0,True,ICP,0.7,0.4,0.9,13.0,Ar,10000.0,0.0,1.0,Radial,50.0,True,,,,,,,,,,False,,,,,,,,,,False
16,MATX-BM017,high energy ball milling,15.0,hr,300.0,rpm,powder,MATX-BM-M017,MATX-HP017,Hot Isostatic Press,1300.0,degC,100.0,MPa,1.0,hr,final pellet,MATX-HP-M017,MATX-PR-049,Zn,0.34,MATX-PR-050,Cu,0.6,MATX-PR-051,Se,0.06,ICP,0.6,0.2,1.1,13.0,Ar,10000.0,0.0,1.0,Radial,44.0,True,ICP,0.5,0.4,1.0,13.0,Ar,10000.0,0.0,1.0,Radial,52.0,True,Hall,2.9,1.0,Ar,W,0.1,5.0,2.0,True,True,,,,,,,,,,False
17,MATX-BM018,high energy ball milling,30.0,hr,300.0,rpm,powder,MATX-BM-M018,MATX-HP018,Hot Isostatic Press,1300.0,degC,200.0,MPa,0.5,hr,final pellet,MATX-HP-M018,MATX-PR-052,Zn,0.36,MATX-PR-053,Cu,0.58,MATX-PR-054,Se,0.06,ICP,0.5,0.5,0.8,13.0,Ar,10000.0,0.0,1.0,Radial,46.0,True,,,,,,,,,,,,False,Hall,5.5,1.0,Ar,W,0.1,5.0,1.0,True,True,Hall,8.2,1.0,Ar,W,0.1,5.0,2.0,True,True
18,MATX-BM019,high energy ball milling,45.0,hr,300.0,rpm,powder,MATX-BM-M019,MATX-HP019,Hot Isostatic Press,1350.0,degC,100.0,MPa,1.0,hr,final pellet,MATX-HP-M019,MATX-PR-055,Zn,0.38,MATX-PR-056,Cu,0.56,MATX-PR-057,Se,0.06,,,,,,,,,,,,False,,,,,,,,,,,,False,Hall,1.9,1.0,Ar,W,0.1,5.0,1.0,True,True,Hall,3.6,1.0,Ar,W,0.1,5.0,1.0,True,True
19,MATX-BM020,high energy ball milling,60.0,hr,300.0,rpm,powder,MATX-BM-M020,MATX-HP020,Hot Isostatic Press,1350.0,degC,200.0,MPa,0.5,hr,final pellet,MATX-HP-M020,MATX-PR-058,Zn,0.4,MATX-PR-059,Cu,0.54,MATX-PR-060,Se,0.06,ICP,0.6,0.3,0.9,13.0,Ar,10000.0,0.0,1.0,Radial,48.0,True,ICP,0.5,0.4,1.1,13.0,Ar,10000.0,0.0,1.0,Radial,53.0,True,,,,,,,,,,False,Hall,8.4,1.0,Ar,W,0.1,5.0,2.0,True,True
20,MATX-BM021,high energy ball milling,15.0,hr,325.0,rpm,powder,MATX-BM-M021,MATX-HP021,Hot Isostatic Press,1400.0,degC,100.0,MPa,1.0,hr,final pellet,MATX-HP-M021,MATX-PR-061,Zn,0.42,MATX-PR-062,Cu,0.52,MATX-PR-063,Se,0.06,ICP,0.6,0.5,1.0,13.0,Ar,10000.0,0.0,1.0,Radial,51.0,True,ICP,0.6,0.4,1.0,13.0,Ar,10000.0,0.0,1.0,Radial,54.0,True,,,,,,,,,,False,,,,,,,,,,False
21,MATX-BM022,high energy ball milling,30.0,hr,325.0,rpm,powder,MATX-BM-M022,MATX-HP022,Hot Isostatic Press,1400.0,degC,200.0,MPa,0.5,hr,final pellet,MATX-HP-M022,MATX-PR-064,Zn,0.44,MATX-PR-065,Cu,0.5,MATX-PR-066,Se,0.06,,,,,,,,,,,,False,ICP,0.6,0.3,1.0,13.0,Ar,10000.0,0.0,1.0,Radial,55.0,True,Hall,8.6,1.0,Ar,W,0.1,5.0,2.0,True,True,,,,,,,,,,False
22,MATX-BM023,high energy ball milling,45.0,hr,325.0,rpm,powder,MATX-BM-M023,MATX-HP023,Hot Isostatic Press,1450.0,degC,100.0,MPa,1.0,hr,final pellet,MATX-HP-M023,MATX-PR-067,Zn,0.46,MATX-PR-068,Cu,0.48,MATX-PR-069,Se,0.06,,,,,,,,,,,,False,,,,,,,,,,,,False,Hall,6.1,1.0,Ar,W,0.1,5.0,1.0,True,True,Hall,2.2,1.0,Ar,W,0.1,5.0,1.0,True,True
23,MATX-BM024,high energy ball milling,60.0,hr,325.0,rpm,powder,MATX-BM-M024,MATX-HP024,Hot Isostatic Press,1450.0,degC,200.0,MPa,0.5,hr,final pellet,MATX-HP-M024,MATX-PR-070,Zn,0.48,MATX-PR-071,Cu,0.46,MATX-PR-072,Se,0.06,,,,,,,,,,,,False,,,,,,,,,,,,False,Hall,6.8,1.0,Ar,W,0.1,5.0,1.0,True,True,Hall,9.8,1.0,Ar,W,0.1,5.0,2.0,True,True
24,MATX-BM025,high energy ball milling,15.0,hr,350.0,rpm,powder,MATX-BM-M025,MATX-HP025,Hot Isostatic Press,1500.0,degC,100.0,MPa,1.0,hr,final pellet,MATX-HP-M025,MATX-PR-073,Zn,0.5,MATX-PR-074,Cu,0.44,MATX-PR-075,Se,0.06,ICP,0.5,0.3,0.8,13.0,Ar,10000.0,0.0,1.0,Radial,56.0,True,,,,,,,,,,,,False,,,,,,,,,,False,Hall,4.8,1.0,Ar,W,0.1,5.0,1.0,True,True
25,MATX-BM026,high energy ball milling,30.0,hr,350.0,rpm,powder,MATX-BM-M026,MATX-HP026,Hot Isostatic Press,1500.0,degC,200.0,MPa,0.5,hr,final pellet,MATX-HP-M026,MATX-PR-076,Zn,0.52,MATX-PR-077,Cu,0.42,MATX-PR-078,Se,0.06,ICP,0.7,0.3,1.2,13.0,Ar,10000.0,0.0,1.0,Radial,57.0,True,,,,,,,,,,,,False,Hall,4.2,1.0,Ar,W,0.1,5.0,2.0,True,True,Hall,8.9,1.0,Ar,W,0.1,5.0,2.0,True,True
26,MATX-BM027,high energy ball milling,45.0,hr,350.0,rpm,powder,MATX-BM-M027,MATX-HP027,Hot Isostatic Press,1550.0,degC,100.0,MPa,1.0,hr,final pellet,MATX-HP-M027,MATX-PR-079,Zn,0.54,MATX-PR-080,Cu,0.4,MATX-PR-081,Se,0.06,ICP,0.6,0.2,1.0,13.0,Ar,10000.0,0.0,1.0,Radial,59.0,True,,,,,,,,,,,,False,Hall,7.2,1.0,Ar,W,0.1,5.0,1.0,True,True,,,,,,,,,,False
27,MATX-BM028,high energy ball milling,60.0,hr,350.0,rpm,powder,MATX-BM-M028,MATX-HP028,Hot Isostatic Press,1550.0,degC,200.0,MPa,0.5,hr,final pellet,MATX-HP-M028,MATX-PR-082,Zn,0.56,MATX-PR-083,Cu,0.38,MATX-PR-084,Se,0.06,ICP,0.7,0.3,1.0,13.0,Ar,10000.0,0.0,1.0,Radial,60.0,True,ICP,0.7,0.2,1.1,13.0,Ar,10000.0,0.0,1.0,Radial,58.0,True,Hall,1.0,1.0,Ar,W,0.1,5.0,2.0,True,True,Hall,6.5,1.0,Ar,W,0.1,5.0,2.0,True,True
28,MATX-BM029,high energy ball milling,15.0,hr,375.0,rpm,powder,MATX-BM-M029,MATX-HP029,Hot Isostatic Press,1600.0,degC,100.0,MPa,1.0,hr,final pellet,MATX-HP-M029,MATX-PR-085,Zn,0.58,MATX-PR-086,Cu,0.36,MATX-PR-087,Se,0.06,,,,,,,,,,,,False,ICP,0.7,0.4,1.1,13.0,Ar,10000.0,0.0,1.0,Radial,62.0,True,,,,,,,,,,False,Hall,3.3,1.0,Ar,W,0.1,5.0,1.0,True,True
29,MATX-BM030,high energy ball milling,30.0,hr,375.0,rpm,powder,MATX-BM-M030,MATX-HP030,Hot Isostatic Press,1600.0,degC,200.0,MPa,0.5,hr,final pellet,MATX-HP-M030,MATX-PR-088,Zn,0.6,MATX-PR-089,Cu,0.34,MATX-PR-090,Se,0.06,ICP,0.6,0.2,1.1,13.0,Ar,10000.0,0.0,1.0,Radial,61.0,True,ICP,0.6,0.3,1.0,13.0,Ar,10000.0,0.0,1.0,Radial,63.0,True,,,,,,,,,,False,Hall,6.4,1.0,Ar,W,0.1,5.0,1.0,True,True
30,MATX-BM031,high energy ball milling,45.0,hr,375.0,rpm,powder,MATX-BM-M031,MATX-HP031,Hot Isostatic Press,1650.0,degC,100.0,MPa,1.0,hr,final pellet,MATX-HP-M031,MATX-PR-091,Zn,0.62,MATX-PR-092,Cu,0.32,MATX-PR-093,Se,0.06,ICP,0.6,0.3,0.9,13.0,Ar,10000.0,0.0,1.0,Radial,66.0,True,ICP,0.5,0.4,1.1,13.0,Ar,10000.0,0.0,1.0,Radial,64.0,True,,,,,,,,,,False,Hall,2.7,1.0,Ar,W,0.1,5.0,2.0,True,True
31,MATX-BM032,high energy ball milling,60.0,hr,375.0,rpm,powder,MATX-BM-M032,MATX-HP032,Hot Isostatic Press,1650.0,degC,200.0,MPa,0.5,hr,final pellet,MATX-HP-M032,MATX-PR-094,Zn,0.64,MATX-PR-095,Cu,0.3,MATX-PR-096,Se,0.06,,,,,,,,,,,,False,,,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,,False
32,MATX-BM033,high energy ball milling,15.0,hr,400.0,rpm,powder,MATX-BM-M033,MATX-HP033,Hot Isostatic Press,1700.0,degC,100.0,MPa,1.0,hr,final pellet,MATX-HP-M033,MATX-PR-097,Zn,0.66,MATX-PR-098,Cu,0.28,MATX-PR-099,Se,0.06,,,,,,,,,,,,False,ICP,0.6,0.4,0.9,13.0,Ar,10000.0,0.0,1.0,Radial,65.0,True,,,,,,,,,,False,,,,,,,,,,False
33,MATX-BM034,high energy ball milling,30.0,hr,400.0,rpm,powder,MATX-BM-M034,MATX-HP034,Hot Isostatic Press,1700.0,degC,200.0,MPa,0.5,hr,final pellet,MATX-HP-M034,MATX-PR-100,Zn,0.68,MATX-PR-101,Cu,0.26,MATX-PR-102,Se,0.06,ICP,0.6,0.2,0.9,13.0,Ar,10000.0,0.0,1.0,Radial,68.0,True,ICP,0.7,0.3,1.0,13.0,Ar,10000.0,0.0,1.0,Radial,67.0,True,,,,,,,,,,False,,,,,,,,,,False
34,MATX-BM035,high energy ball milling,45.0,hr,400.0,rpm,powder,MATX-BM-M035,MATX-HP035,Hot Isostatic Press,1750.0,degC,100.0,MPa,1.0,hr,final pellet,MATX-HP-M035,MATX-PR-103,Zn,0.7,MATX-PR-104,Cu,0.24,MATX-PR-105,Se,0.06,ICP,0.6,0.3,1.1,13.0,Ar,10000.0,0.0,1.0,Radial,69.0,True,,,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,,False
35,MATX-BM036,high energy ball milling,60.0,hr,400.0,rpm,powder,MATX-BM-M036,MATX-HP036,Hot Isostatic Press,1750.0,degC,200.0,MPa,0.5,hr,final pellet,MATX-HP-M036,MATX-PR-106,Zn,0.72,MATX-PR-107,Cu,0.22,MATX-PR-108,Se,0.06,ICP,0.5,0.4,1.1,13.0,Ar,10000.0,0.0,1.0,Radial,70.0,True,,,,,,,,,,,,False,,,,,,,,,,False,Hall,2.5,1.0,Ar,W,0.1,5.0,2.0,True,True
36,MATX-BM037,high energy ball milling,15.0,hr,425.0,rpm,powder,MATX-BM-M037,MATX-HP037,Hot Isostatic Press,1800.0,degC,100.0,MPa,1.0,hr,final pellet,MATX-HP-M037,MATX-PR-109,Zn,0.74,MATX-PR-110,Cu,0.2,MATX-PR-111,Se,0.06,ICP,0.5,0.3,1.0,13.0,Ar,10000.0,0.0,1.0,Radial,71.0,True,,,,,,,,,,,,False,,,,,,,,,,False,Hall,5.1,1.0,Ar,W,0.1,5.0,1.0,True,True
37,MATX-BM038,high energy ball milling,30.0,hr,425.0,rpm,powder,MATX-BM-M038,MATX-HP038,Hot Isostatic Press,1800.0,degC,200.0,MPa,0.5,hr,final pellet,MATX-HP-M038,MATX-PR-112,Zn,0.76,MATX-PR-113,Cu,0.18,MATX-PR-114,Se,0.06,ICP,0.6,0.5,1.1,13.0,Ar,10000.0,0.0,1.0,Radial,78.0,True,ICP,0.5,0.3,1.0,13.0,Ar,10000.0,0.0,1.0,Radial,72.0,True,,,,,,,,,,False,,,,,,,,,,False
38,MATX-BM039,high energy ball milling,45.0,hr,425.0,rpm,powder,MATX-BM-M039,MATX-HP039,Hot Isostatic Press,1850.0,degC,100.0,MPa,1.0,hr,final pellet,MATX-HP-M039,MATX-PR-115,Zn,0.78,MATX-PR-116,Cu,0.16,MATX-PR-117,Se,0.06,ICP,0.6,0.3,1.3,13.0,Ar,10000.0,0.0,1.0,Radial,79.0,True,ICP,0.5,0.2,0.8,13.0,Ar,10000.0,0.0,1.0,Radial,73.0,True,,,,,,,,,,False,Hall,8.2,1.0,Ar,W,0.1,5.0,2.0,True,True
39,MATX-BM040,high energy ball milling,60.0,hr,425.0,rpm,powder,MATX-BM-M040,MATX-HP040,Hot Isostatic Press,1850.0,degC,200.0,MPa,0.5,hr,final pellet,MATX-HP-M040,MATX-PR-118,Zn,0.8,MATX-PR-119,Cu,0.14,MATX-PR-120,Se,0.06,,,,,,,,,,,,False,ICP,0.6,0.2,1.0,13.0,Ar,10000.0,0.0,1.0,Radial,74.0,True,,,,,,,,,,False,Hall,3.3,1.0,Ar,W,0.1,5.0,2.0,True,True
40,MATX-BM041,high energy ball milling,15.0,hr,450.0,rpm,powder,MATX-BM-M041,MATX-HP041,Hot Isostatic Press,1900.0,degC,100.0,MPa,1.0,hr,final pellet,MATX-HP-M041,MATX-PR-121,Zn,0.82,MATX-PR-122,Cu,0.12,MATX-PR-123,Se,0.06,ICP,0.7,0.2,1.1,13.0,Ar,10000.0,0.0,1.0,Radial,80.0,True,ICP,0.6,0.3,1.2,13.0,Ar,10000.0,0.0,1.0,Radial,75.0,True,,,,,,,,,,False,,,,,,,,,,False
41,MATX-BM042,high energy ball milling,30.0,hr,450.0,rpm,powder,MATX-BM-M042,MATX-HP042,Hot Isostatic Press,1900.0,degC,200.0,MPa,0.5,hr,final pellet,MATX-HP-M042,MATX-PR-124,Zn,0.84,MATX-PR-125,Cu,0.1,MATX-PR-126,Se,0.06,,,,,,,,,,,,False,,,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,,False
42,MATX-BM043,high energy ball milling,45.0,hr,450.0,rpm,powder,MATX-BM-M043,MATX-HP043,Hot Isostatic Press,1950.0,degC,100.0,MPa,1.0,hr,final pellet,MATX-HP-M043,MATX-PR-127,Zn,0.86,MATX-PR-128,Cu,0.08,MATX-PR-129,Se,0.06,,,,,,,,,,,,False,,,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,,False
43,MATX-BM044,high energy ball milling,60.0,hr,450.0,rpm,powder,MATX-BM-M044,MATX-HP044,Hot Isostatic Press,1950.0,degC,200.0,MPa,0.5,hr,final pellet,MATX-HP-M044,MATX-PR-130,Zn,0.88,MATX-PR-131,Cu,0.06,MATX-PR-132,Se,0.06,,,,,,,,,,,,False,ICP,0.6,0.3,1.0,13.0,Ar,10000.0,0.0,1.0,Radial,76.0,True,,,,,,,,,,False,,,,,,,,,,False
44,MATX-BM045,high energy ball milling,15.0,hr,475.0,rpm,powder,MATX-BM-M045,MATX-HP045,Hot Isostatic Press,2000.0,degC,100.0,MPa,1.0,hr,final pellet,MATX-HP-M045,MATX-PR-133,Zn,0.9,MATX-PR-134,Cu,0.04,MATX-PR-135,Se,0.06,ICP,0.5,0.2,1.0,13.0,Ar,10000.0,0.0,1.0,Radial,81.0,True,,,,,,,,,,,,False,,,,,,,,,,False,,,,,,,,,,False
45,MATX-BM046,high energy ball milling,60.0,hr,475.0,rpm,powder,MATX-BM-M046,MATX-HP046,Hot Isostatic Press,2000.0,degC,200.0,MPa,0.5,hr,final pellet,MATX-HP-M046,MATX-PR-136,Zn,0.92,MATX-PR-137,Cu,0.02,MATX-PR-138,Se,0.06,ICP,0.6,0.3,1.0,13.0,Ar,10000.0,0.0,1.0,Radial,82.0,True,ICP,0.7,0.4,1.0,13.0,Ar,10000.0,0.0,1.0,Radial,77.0,True,,,,,,,,,,False,,,,,,,,,,False
